OverallRating,Comments,FeedbackCategory,Subcategory
3,"I love scholastic from when i was a kid. Honestly , the site is a little clunky to use. And when I click on the book to see more, the description that I can see in teh digital flyer is gone, which is usually what i want to see more about. That could really help",,
4,Detailed explanation about the books is a plus.,,
4,Would be nice to see reviews while looking through the various options,,
5,Love this site!,,
5,"I've always looked Scholastic books since I was a child, and love that I can pass that on to my son!",,
5,"Love it, thanks!",,
5,The website is very user friendly and I was able to find and browse books specifically for my child's age and grade.,,
2,I have an email stating that I have a student order but I cannot find the order in my cart.,,
5,N/A,,
5,everything looks awesome!,,
5,Site is very easy to use!,,
5,I love that our teachers/classrooms benefit from the books we purchase!,,
4,"The READS coupon did not want to work with one of the orders but she gave me a different code that did the same thing, so it all worked out.",,
5,good book,,
3,"love the flyers and suggestions for the ages. I love the illustration used in the scholastic books better than Usborn books, to be honest. I remember this band of books when I was in school. Thanks for always being there for children literacy.  )",,
2,Having difficulty adding my free book using my iphone.  Screen wouldn't let me choose a book or would freeze when I tried to confirm my selection.  Clicking would bounce me all over your site--pretty frustrating.  Had to log on to my PC to complete my order.,,
5,Just ordering a paper catalog for my second graders.,,
5,site is very easy to use and very good selection of books updated with todays kids cartoons and characters,,
5,I have a parent who gave me a check ppayable to scholastic  for $25 How do I submit it to you  so that I still get the credit for her order.  I added it to the tab for paper orders but I am not sure what to do next.,,
5,Thank you for everything!,,
5,Logging in,,
5,"The only thing I didn't like was I was searching for a book, Three Keys by Kelly Yang, and couldn't buy it individually, had to buy the set and we didn't need all three books, so I went to amazon to buy the individual book.  Bought two other books.",,
3,Need more AR older book selection,,
5,Awesome,,
5,Lots of bonus points. Loveit!,,
4,"It was clear that I could order $10 in books however, I didn't know it would be addressed on the next page of check out.",,
4,"Not happy that my account says I owe money when I paid at time of check out, and the money is pending with my bank/card! Why is this?",,
4,I wish there were still $1.00 books available.,,
3,Need more book filters. As in series or book packs.,,
4,Had difficulties with the question marks they pertained to last year's final order.,,
3,I want $1 books  back!!!,,
4,Figuring out how to enter the classroom code that the teacher provided,,
5,All Good!!!,,
3,It would be nice if the teacher could select books that she recommends for her students.,,
4,A student ordered Diary of a Pug #1-4 (#15G1) and it couldn't be ordered to come when it is back in stock,,
3,Easy to use. Love that website matches flyer.,,
5,"I have ordered the Scholastic Books for my daughter, grandchildren, and now for my great-grandchildren. It is a great way to order books for them.",,
5,Easy to navigate and user friendly site.,,
4,I wish they still offered the 10 pack books for $10 as well as giving you the .50 off when you ordered online. For teachers who spend their own money on books for their students this is very beneficial.,,
3,Finding the e-wallet was not easy. This is my 5th year doing this and every year is difficult. Plus every time I select anything a new page automatically pops up. At the end of updating 2 kids wallets there were 10+ pages opened.,,
5,Site is easy to follow,,
5,Love scholastic and the fact parents can place their orders online!!!!,,
4,"I didn't notice the promo code until after I ordered, that was annoying.",,
5,Surprised to see an unpaid balance,,
4,Couldn't view the digital flyer,,
5,"I love the Scholastic Book Club site! I recommend it to all me teacher friends.  I do wish there were more $1 options like their used to be because I can't buy as many books for my students as I used to. I know the dollar store opens after a big order, but I usually don't have the money to do a big order and then shop in the dollar store after that.  I work at a Title I school so there is not many parents who will place an order or put money towards the initial order so that I can shop the dollar store.  But, other than that, I love it!",,
4,I would like to click multiple formats at once instead of having to go back to the filter and click again and again.,,
2,"This was my second order and I thought, based on total dollars spent and the information presented, that the order qualified for $10 free books and a free group of books. I continued to choose the $10 in free books only to be charged the $10. After going back to the beginning several times, I realized I should read the small print that said the freebies were only once between August and September. If a teacher already utilized this freebie, it should not pop up and give an alert about this reward. Little hurdles like this when ordering seem to frustrate teachers. Make order user friendly please.",,
3,"Website is glitchy and slow. It froze up. Also the pop-up  windows in the middle of the page are cut off on the screen and do not allow you to scroll down, (for example this survey) I had to tab down. This website needs a lot of work.",,
1,"I am ordering $30 worth of books, the coupon ""READS"" still shows in the banner and I can not apply y free book.",,
5,It is so easy to use this site.  I love that all of my points from the different book order forms can be combined!,,
5,"I haven't ordered yet, but I did add to my cart.",,
3,the site is not all that easy to navigate unless you are trying to view a catalog or know the name of the book you are looking for,,
5,So easy that I didn't even need to watch the tutorial. Thank you!,,
5,"I couldnt pay with my international card, or my international paypal",,
4,I tried to find a book with a general description.  I was looking for a wipe-off book for help with the alphabet and numbers.,,
3,I think that it should be noted that teachers should wait to enter in all their students orders at once otherwise we loose bonus points.,,
4,Flyer wouldn't load and clicking link still didn't work,,
1,"The site is very confusing to me.  It says it's the class page but it's hard to tell if the teacher has picked out books for the class or what.  Also, there is just too much going on on the page, it's hard to know where to go, which section to look in, etc.",,
2,Took forever to find the spot to enter my child's classroom code. Almost gave up and didn't order anything.,,
3,I did not see my ewallet for the fair tomorrow,,
5,I entered the code for a free book but it didn't take anything off of the amount of my order.,,
4,Don't know where to find the book listed?,,
5,N/A,,
5,Reasonable prices - great selection - and bonus points that help keep our classroom library stocked with high interest books.  Thank you!,,
3,It takes time to find the interesting books we want to order.,,
4,Would like to see more options for using points.,,
5,not buying today but usually do just compiling a list so hopefully family can buy books.  love your site- thank you!,,
5,I love books!  They make great gifts!,,
3,more coupons  gets very expensive,,
5,I want to get back to Scholastic Book Clubs to help my students build their reading skills. I look forward to recving  the order forms.,,
5,Fair prices.,,
1,The search is useless.,,
5,had a difficult time looking for the class wishlist.,,
4,Just checking out availability of some titles before I make purchase soon,,
2,Make easier format to log in,,
5,easy to find the books we selected from the flyer,,
5,"I found some good books to order today, but I'm surprised by how the flyer is shrinking.  I'm not sure if it's smaller to include more books on a page, or if the selection is shrinking.  I hope that you continue to include quality books and a good selection each month.  I'd be really disappointed if your selection diminished.",,
4,Everything worked well.,,
4,"Not many parents are ordering books anymore.  I used to have huge book orders in the past.  Since my class didn't order 25 dollars worth, I missed out on the great coupon offers.  I don't want to add my own money to orders in order to get 10 dollars free.  Possibly add a 5 dollars free to the classroom that is under the 25 dollar mark.",,
5,"Your website it incredibly user friendly, easy to navigate and the deals are great!",,
4,It would be helpful to be able to search by price. I would like to have more classic titles.,,
3,Need new books.   Seems like the same stuff from last year.,,
5,"I had to link my kiddo's new teacher and it was super easy! Thanks, Scholastic!",,
3,I wish there were more hard cover books.,,
1,"Options to pay previous account balances online, not via telephone for ALL. Offer National Geographic novels in higher levels.",,
4,Its a good store like amazon and for school and the books are cheep,,
1,"Good lord, where do I put the class code in?  This is ridiculous.",,
3,I found the books i want to order and i love the weekly $1 book.  i intend on placing my order on friday,,
4,I would love to get more Spanish Scholastic order forms for my class since it is a Bilingual/ Dual Immersion class. Thank you!,,
2,I USED to teach... now I'm a grandparent and just want to order books for my grandchild... the website keeps going back to my teacher account.  FRUSTRATING!,,
5,Easy to navigate and search for what I was looking for,,
4,"I had to re-load the page and log in 3 times before the teacher information became available to me. It did not show that I was a teacher with orders waiting. It kept showing an empty cart. In the end, using the same log in that I had used twice before, it finally showed my teacher information and allowed me to order.   Having said that, I still LOVE Scholastic.  You have been a mainstay of my classroom for so many years - I don't know what I'd do without you. 3",,
4,Couldnt find an individual book to order. It was in books of 10s.,,
5,Easy to order!,,
5,"Some of the item #'s on the catalog page didn't match the online #'s. No big deal though, I searched by name and got them quickly.",,
3,Unable to find teacher resources I've used in the past to promote scholastic book clubs in my class. I don't see a ready made letter to send home or labels from front of flyers.,,
3,Super easy to navigate and find what I needed!,,
3,Last year it took forever to get the books that is why I gave it a 6.  Faster to go to a bookstore or library.  however pre-covid I would have given a 10 as books were delivered FAST,,
5,Site is easy to use/navigate.,,
3,Trying to look at prices to get an estimate for a book fair.,,
5,I was just adding a student order today and doing a little classroom shopping.,,
5,I love Scholastic!!!,,
1,Hard to followâ€¦.almost made me quit the purchaseâ€¦also should have option to purchase as a guest and give paypal option,,
2,VERINT TEST,,
5,I am eager to get back to book orders after supply chain delays.,,
5,Codes did not match my pamphlet,,
4,"Good site, only slightly confusing part is ""oh wait I have to assign a student before I can buy"" but  it makes sense.",,
3,"It's not clear on your website for orders paid by check whether or not to include the paper order form.  Also, the Business Reply envelopes I'm sent with our flyer have the Scholastic Book Clubs' zip code as 45273-8504  The zip code on your website is different: 45263-0446 ... please correct.    ALSO ... why haven't we  received our regular paper flyers for October's order?",,
4,I started out on the Scholastic page and it took me a while to realize I need the Book Clubs page.,,
2,cannot find where to add my child's class code to my account,,
2,"I tried to submit my order yesterday.  When I clicked ""Submit Order"", it brought me back to the shopping cart but did not tell my why.  I tried multiple times, from different devices and it still wasn't working.  I then contacted costumer support via chat and the same thing was happening to that person.  She told me she'd put in a work order but I may not hear back for 2-3 days.  I decided to try again today and it did work.  This time, it gave me an error message in my cart telling me one of my items was out of stock.  I wish this error popped up yesterday so that I didn't have to spend my entire plan time trying to problem solve without luck.  Thankfully today it did work.",,
2,Im disappointed in the selection of books for $1 or $2.  A book for $1 popped up on my screen but it took me to a completely different section by that author. Not what I wanted.    Last year was a nightmare with Scholastic.  I'm praying its not like that again.,,
4,I wish it was easier to use bonus points.,,
5,I look forward to coming back as a classroom teacher. :),,
3,I am unable to figure out how to submit an order.,,
4,I would say not a huge difficulty but I had to reset my password and felt like I had to log in multiple times (2 or 3?) to complete the order. Not a huge problem but slightly annoying.,,
5,Always user-friendly. I did not place an order today but will very soon!,,
4,search engine could use some improvement,,
4,I was surprised by the price of the books!  Yikes!,,
4,Accidentally chose wrong school and had to start over.,,
5,"We love Scholastic Book Orders!  I ordered from the book orders as a child and it is so great to be able to order for my kids.  Thank you, Scholastic, for your commitment to getting books in the hands and classrooms of our children generation after generation.",,
5,Its amazing absoutely love it for my child,,
3,Book fair is tomorrow and my son's school does not come up.  I want to get him an eWallet but your system will not allow it without a book fair to tie it to...,,
3,Won't let me continue to check out!,,
5,Shipping is wonderful this new school year in the Fall.  Seems like the bugs are worked out.,,
3,multiple sign-ins because I was not being recognized as being signed in. I tried signing in on 3 different platforms before I could be confirmed as signed in.,,
5,I liked the questionnaire option that helped me choose a book for my child.,,
5,Easy,,
2,Very slow to load sign-in pages,,
4,"so so difficulty. It would be nice if when entering the free $5 book code, it would change the $5 book already on your order into the free book, rather than requiring you to enter the free book again and deleting the $5 book on your order.",,
5,I am not sure how to email parents directly from scholastic,,
5,Smooth and easy to use,,
4,"I wish the digital flyers were just a webpage.  The flyers behave weirdly and I kept finding myself places I hadn't intended to be.  Also, they are very small and hard to read.",,
5,"Great for kids, love it ty",,
3,im still searching for books,,
1,"You don't list prices! This is insane.     Why are you trying to trick your customers, Scholastic Book Club? I am really disappointed in you. Really pathetic.",,
5,Always  helpful,,
4,I believe I earned some free books but did not see a place to choose those books. This is the only time this has happened. I probably didn't see it.,,
1,Navigating the mobile site is difficult,,
5,Was trying to find the $1 books to give out as gifts for my students and my daughter's class.,,
2,Scholastic has not been helpful......we are stilled owed books from last school year.,,
3,"I like to view the flyers because it is easier to pick out titles I might be interested in purchasing.  The site was having issues and the flyers weren't coming up to view.  It was frustrating so I gave up and will try again later.  Also, I know inflation is causing everything to go up, but it is disappointing to see the once $1 books in each grade level flyer continues to go up.  I work at a Title I school and it is nice to see books that ALL kids can afford.  I usually purchase a large number of these deal books to give away in my library each month.  Now that chapter books cost $3+ I will not be able to purchase as many to give away.  I understand Scholastic is a business, but it is a little disappointing.",,
3,make it easier to post a link so friends and family can buy my child books,,
3,I could not find the sheet or a sheet to send home as a parent letter with my teacher code on it. None of the paper flyers had a sales sheet attached.,,
4,it wouldn't let me sign in,,
3,"We enjoy ordering books from Scholastic but the wording of this survey has me wondering if anyone actually read through this before publishing it. The three Yes/No questions explain that you should answer Yes if your answer is No and No if your answer is Yes. I was unable to complete my task, was unable to submit an order and did experience difficulties. Based on the survey instructions, I have selected the opposite answers for each question.",,
3,The link sent buy my son's teacher (www.scholastic.com/parentordering) didn't work and it took me a while to figure out how to get his classroom code in to properly place the order.,,
2,I have not been able to intentionally get to a place to input the code from my flyer,,
5,Love the books. Love the service.,,
1,still can not find where the editable flier is to send home,,
3,This was a great experience and so easy to use.,,
4,I'm disappointed by the quality of some of the titles and the lack of low price books.  I think the selection has decreased over the past few years.,,
3,Letter to parents downloaded blank.,,
5,Love shopping for books for my class.  Easy website to use.,,
4,Couldn't figure out how to order the free book,,
4,"When selecting my free $10.00 credit, it would be nice if I could limit my search  with a specific dollar amount. It would save a lot of time.  Thank you for your consideration.",,
3,Hard to find information. Video tutorials would be nice.,,
5,Na,,
5,Thank you!,,
5,I will confirm with my daughter which books my granddaughter would like this time and then come back.,,
5,Trying to make a payment,,
5,"On the mobile app, I was trying to add the ""READS"" free book, but the ""confirm and apply"" button was below the screen and I couldn't scroll far enough to be able to click it. On the computer it worked fine.",,
4,GREAT SITE ND VERY EASY TO UNDERSTAND.,,
4,The only difficulty I had was switching to my daughters account vs my son's account.,,
5,Love the seletion of books.  Very easy to order.,,
5,Very great program!,,
4,Took me awhile.  Not super user friendly.,,
3,Neutral to recommend because this is for my childs preschool.,,
5,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",,
3,Not finding info,,
5,Glad to see the shipping issues of the past seem to be fixed.  I will place my next order soon!,,
5,Thank you.,,
3,Need larger pictures to show children the available books.,,
5,Thank you for having Live Chat available.,,
5,Nice to see everything is running smooth,,
3,"We LOVE scholastic, that was one of my favorite parts of teaching was ordering books. i miss the $1 books but i understand the price of inflation.",,
4,"Easy to add items to wish list and cart. Sometimes navigation is difficult (e.g., once get to checkout, it would be nice to have a back button ('back to shopping'), rather than using the browser back button or having to go back 'home' and navigate back to where I was before entering checkout).",,
4,Trying to edit my order since this teacher is no longer at Pikeside Pre-K in Martinsburg WV on Winchester avenue and it won't let me.,,
4,Just a low stock issue for one book the child wanted. I think you should take low stock out if we can't order them.,,
4,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,,
3,"I really appreciate the opportunity to help our teachers in the classroom while also finding new books and other products for my kids, often at prices much better than through other sellers and/or available before they are available elsewhere.",,
5,Thank you!,,
3,Well built site that is very user friendly... Thank you!!,,
3,"I had trouble finding where to submit my childâ€™s teacher & when I found it, my entire cart was deleted so I had to start over. It would be better if the scholastic site worked seamlessly with the school classroom pages.",,
5,I don't like the online necessity of paying sales tax on book purchases.,,
2,It will not add to my cart at all and I can't order.    I have a credit that I can't use.,,
4,I used the LIVE CHAT feature for the first time.  Amanda was VERY helpful and was able to clear up my problem very quickly.  Much appreciated.,,
5,Thank you,,
3,Please get more classic chapter books!,,
5,"I have loved scholastic since I was a child, and love it even more now as an educator.",,
5,Website very user friendly.,,
3,I have an account but do not know how to enter class code,,
4,I couldn't send the order to the other teacher.  I have two kids in the school.,,
5,Love your books and the prices.,,
5,first time ordering super easy and fast.,,
5,Ordered 2 Lego Ninjago Activity book.  Mrs Gugg9sbergm sent only one home.  Sending note to teacher tomorrow.  Thanks,,
3,"Site was super easy to use. The books my child circled on the flyer were easy to find and access on the site and add to the cart. Payment and checkout process was also seamless. Super easy, thank you so much.",,
3,I'm ordering for my granddaughter.  I WILL order again!,,
5,It's nice to be able to reward teachers and provide valuable reading assets to my children.,,
4,I like that the Scholastic website is easy to navigate and use. Look forward to things returning back to normal after the supply chain issues and the pandemic.,,
5,So wonderfully easy to do :) thank you,,
3,Why is tax charged for a school order?,,
4,I think there should be a way to import emails from google so that teachers don't have to manually enter them all in!,,
4,29 years with Scholastic!  It's a great investment every year! Thank you for the selection!,,
5,"Site worked great! The search function under the site search was a little confusing since it only had the ""add to cart"" button there instead of going to the item to view the descrip. I get the idea of it, just wasn't prepared for it. This is so much easier than filling out those awful newsprint, tiny order forms lol",,
5,I couldn't find one of the books that was on my granddaughter's flyer.,,
4,I wanted the option to share my child's wish list with family.,,
5,Excellent service and easy to use & navigate!,,
2,"Very frustrated-   Put $80 books in a cart, only to discover that's the ""retail side"" so I can't buy them from my son's class teacher book club.  Started over - picked $30 worth of goods, entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.",,
5,Everything was fine.  Looked at some products.,,
5,You guys are the best ever .,,
5,I couldn't find teacher's name. I will wait to get her class code to submit my order as I noted that purchases help teachers get free books for the classrooms. Thanks,,
4,I feel like there should be an easier search function,,
3,Searching for book in promo list,,
4,a couple books I wanted were not available as individual books and were only available as a set and we have most of the set.,,
1,My shipping and payment page does not display the payment method or information necessary to make a payment.   I spoke with a represenative last year and was under the impression that the page would be fixed.,,
5,We love scholastic books.,,
5,Great website. My daughter and I have a great time looking for books for her.,,
5,A book is out of stock.,,
5,The website is so much easier to navigate than before.,,
5,Wish there was a way to edit a letter to attach to the student flyers.      Such as fonts and size.  I can't figure that out.,,
3,Search function is not great,,
3,Had trouble going back to the $1.00 page : D,,
5,I was just giving reviews.  Love this program.,,
3,n/a,,
3,The site is not easy to navigate.  I feel like you have to click around a lot to find the best deals for teachers.,,
3,"I find the site has not been updated in 3 years, since I was last in the classroom. It is not the most user-friendly to maneuver in between the teacher wish list and book selecting. I wish multiple books could be added at once instead of one at a time.     It would be nice to have received physical copies of flyers.",,
4,Just still looking for where to do this. :),,
3,I did have difficulty finding my teacher.  I was wondering if you ship to homes instead?,,
5,I'm just waiting for my kids to add books to the cart before I submit my order.,,
3,I was on the main website before I realized I had to click somewhere special to get to the order with my kiddo's teacher.,,
5,"i love scholastic, the joy of getting my books in class sparked my love of reading and im happy to pass that love on to my child!",,
4,.,,
5,user friendly,,
5,Thank you for always offering books at reasonable prices!,,
3,Not an easy site to navigate and prices have gone up.,,
5,Easy peasy!,,
5,I'm so glad you're still in business!  I am thrilled that at least one student placed an order.  Sure wish it were more!,,
3,It is still not easy to quickly find what I want and switch back and forth between items.,,
3,"Your site is not easy to follow to order the books. I had to use the sheets that were sent home from the school and then search for each book using the item number. I was not impressed with the site. I would recommend the books, but I would also warn everyone about using the site.",,
4,"I have not ordered anything for 3 yrs.  I was not teaching reading.  I am again now.  So, setting up my acct.   Lost all my Bonus Points.  sad...",,
3,I liked that both children's orders were combined into one billing transaction. However both children should have had the ability to take advantage of the READ free book code. But only one child was able to select a free book.,,
5,Always an excellent experience,,
5,Really appreciate the service you offer children.,,
5,Thank you!!!,,
3,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,,
5,"It's always pretty easy to use.  If you ever make changes I'd suggest they only be slight. It's easy to search, easy to add by code, easy checkout, etc. Totally overhauling the site without keeping that simplicity in place would be a nightmare.",,
4,I wish the discount books were for teachers who didn't have to spend $75.  It would benefit my class who are limited to ordering books due to budgets!,,
5,Do you still offer free shipping to home?,,
3,website is user friendly and easy to use.  Found what I was looking for and made my purchase. Simple and easy.,,
3,"should be able to place books in ""shopping cart"" directly from the digital flyer. The numbers on the digital flyer are too small to easily read. Should be listed when click on the book.",,
1,"I was going to order some books for my daughter per her preschool's request, as I have done countless times before, as this is for our 5th child.  I wanted to buy some Christian books in addition to secular ones.  When I typed in ""Jesus"" into the search bar, there was not one result.  I typed in ""God.""  Nothing.  If you can't have one book about Jesus, I can't buy from you and I will be sure to let all my friends know.  Interestingly there are results for search words like ""gay"" and ""transgender.""",,
4,Kept freezing on the flyer's.,,
4,"I could not print my printable teacher letter - I got a screen with ""bad response"" instead.  I opened it in an incognito window and it worked.",,
4,n/a,,
4,Out of stock items should be able to be ordered and then I can be updated when they are available and shipped.  Not telling me to check back later.,,
5,super easy to navigate,,
4,I logged in today because I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,,
3,"However,  in the drop down menu to select the teacher, the teacher's name was not listed. It would be great if we could type in the name when the name is not available to select.",,
1,when I am at checkout and have $ to use - I should be able to pull up my wish list and add those books in.  This is very frustrating.  The system really needs to be easier for teachers.  We don't have time to navigate back and forth.,,
5,very well placed categories ans recommendations. Only feedback is that when I was on a recommendation page I liked 2 books and I clicked on 1 to add to cart but after that I couldnot go back to the same recommendation page and missed the second book I had liked. I then had to search for it again.,,
4,The representative that assisted me was very helpful to complete my order.,,
3,The survey popped up before I could complete what I was doing.,,
4,Sometimes I find it hard to locate the collection deals or the book of the week sale,,
4,I am not sure that the entire process is intuitive but I am muddling through.,,
4,It would be helpful if we could see the titles of all books that are in book bundles before placing the order. I did not order the unicorn diaries bundle today because I couldn't read what titles were included.,,
3,"Thank you for my latest order, we love the books! I was told that once the order ships I would receive an e-mail and could then call to have the tax removed. That has not yet happened. I also earned $10 in free books and a multipack preschool, that were both missing from the shipment.",,
5,I love scholastic as a parent and as a teacher,,
4,Discount code did not work chat bot told me to sign off and back on which was annoying,,
4,Keep me logged in once I log in,,
4,Finding the Book Clubs for the correct codes to enter.. I feel like I switch between screens.. Scholastic regular vs after I sign in and it connects me to his class.,,
5,easy and detailed site!,,
5,"I am a grandmother and am delighted to be able to buy books for my granddaughter and her class!    I loved Scholastic books as a child, as a mom and now as a grandma.  :)",,
5,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,,
3,The process to confirm an online order placed by a parent is overly complicated & redundant.,,
5,I am not sure that I fixed my problem.  I have not been receiving flyers this year.  I tried to update my class info again in hopes they will start coming!,,
5,Very fast and efficient. Love shopping here for my daughter! Lots of great options and pricing.,,
4,Super disappointed the shark book is out of stock.  I did not see any information as to when it might be available again.  Super sad 5 year old.,,
3,it was a pleasure to visit the website.,,
5,easy,,
4,A couple search challenges. Typed in a book I knew was there and it didn't come up.,,
