OverallRating,Comment,FeedbackCategory,Subcategory
Satisfied, I do not need any flyers right now and need to stop them from being mailed to me at my school.,Uncategorized,Kits
Satisfied,Need to make sure that I will be receiving my flyers at my site this year for each month. They did not come directly to me but came in bundles with other schools from the district in it. I often missed the flyers altogether because they never arrived at our site and I would have to call scholastic to send the flyers directly to me and that took a few days for them to arrive.,Uncategorized,Kits
Satisfied,She has half the day in spanish. I wish that the Leo flier was more often.  I think you should market your Leo flier to teachers that are DLI.,Uncategorized,Kits
Very Satisfied,"I haven't tried to get those catalogues yet, so I'm not sure if I'll be successful.",Uncategorized,Kits
Very Disappointed, I just want flyers to send to my students and have no way to access it or request flyers.,Uncategorized,Kits
Satisfied,"Since the pandemic, I have not been getting the student flyers sent to school.  I REALLY want them to generate more orders.  PLEASE send them to school. still have not received the paper flyers.",Uncategorized,Kits
Satisfied,I want to know how to get flyers,Uncategorized,Kits
Very Satisfied,"hi just got the flyers i requested but I guess I didn't ask for the Lucky flyers or any that would be good for second graders.    In the future could you please send me any flyers See Saw, Lucky, you can be a reader, that  second graders would order from...  Thanks   ",Uncategorized,Kits
Very Disappointed,stop producing sooooo many flyers that I simply recycle. Stop!!!!!,Uncategorized,Kits
Neutral,I still appreciate the tactile sense of browsing the printed Scholastic book order flyer.,Uncategorized,Kits
Disappointed,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year.  I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. ",Uncategorized,Kits
Satisfied,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,Uncategorized,Kits
Neutral,I need to have flyers sent to me as I never got any and would like to make a class order. I can't find how to have flyers sent ,Uncategorized,Kits
Satisfied,"Some item numbers didn’t match the flyers, but overall,",Uncategorized,Kits
Neutral,the number are not the same as in the flyer.,Uncategorized,Kits
Satisfied,"I was looking for a way to request paper, book order catalogs to hand out to my students.",Uncategorized,Kits
Disappointed,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,Uncategorized,Kits
Very Disappointed,"The flyer from the teacher, does NOT match on-line.",Uncategorized,Kits
Satisfied,I'm disappointed by the quality of some of the titles  I think the selection has decreased over the past few years.,Merchandise/Products,Products Offered
Satisfied,Just a low stock issue for one book the child wanted. I think you should take low stock out if we can't order them.,Merchandise/Products,Product Inventory
Neutral,Please get more classic chapter books!,Merchandise/Products,Products Offered
Satisfied,a couple books I wanted were not available as individual books and were only available as a set and we have most of the set.,Merchandise/Products,Single Titles vs Bundles
Very Satisfied,A book is out of stock.,Merchandise/Products,Product Inventory
Very Disappointed,"I wanted to buy some Christian books in addition to secular ones.  When I typed in ""Jesus"" into the search bar, there was not one result.  I typed in ""God.""  Nothing.  If you can't have one book about Jesus, I can't buy from you and I will be sure to let all my friends know.  Interestingly there are results for search words like ""gay"" and ""transgender.""",Merchandise/Products,Products Offered
Satisfied,Out of stock items should be able to be ordered and then I can be updated when they are available and shipped.  Not telling me to check back later.,Merchandise/Products,Product Inventory
Satisfied,It would be helpful if we could see the titles of all books that are in book bundles before placing the order. I did not order the unicorn diaries bundle today because I couldn't read what titles were included.,Merchandise/Products,Product Info/Description
Satisfied,Super disappointed the shark book is out of stock.  I did not see any information as to when it might be available again.  Super sad 5 year old.,Merchandise/Products,Product Inventory
Disappointed,I struggling with ordering simply because there isn't enough variety.  I'd like to see more stable books offered instead of bandwagon books that don't last the test of time.,Merchandise/Products,Products Offered
Satisfied,"One of the sets of books that a student wanted to order is out of stock. I will check back later. It is the Who would win, rumble 6 pack. Item number 42G1 for $22.",Merchandise/Products,Product Inventory
Neutral,"I struggled with the bundled options, its not easy to see details about each book.  Picture shows 4 books when there are 5- its a bit confusing.",Merchandise/Products,Product Info/Description
Satisfied,Would perfer a long list (with pictures) of the books you offer. I kept seeing the same 15 books. Sure there are more.,Merchandise/Products,Product Info/Description
Very Disappointed,Your book selections are very political.  I just want to get my kid a story book.,Merchandise/Products,Products Offered
Very Satisfied,"Kindly watch the woke content.  You have a duty to provide wholesome, unbiased literature to our children.  It's a powerful position to be in, please respect it.",Merchandise/Products,Products Offered
Very Disappointed,"PS, not buying any books on here until you provide more unifying, less divisive subject matter.",Merchandise/Products,Products Offered
Very Disappointed,"Too much anti-American content or divisive material on here.  I could not find any material on pride in country, being a responsible American citizen, or Founding principles.  If Scholastic cannot expand its subject matter, I’d rather not receive this newsletter.     Do better.",Merchandise/Products,Products Offered
Neutral,Not all books had a description of the story,Merchandise/Products,Product Info/Description
Satisfied,"Just that a book was ""out of stock""",Merchandise/Products,Product Inventory
Neutral,"while the selection has decreased. You are also offering books in packs, but not offering the titles separately.  I won't buy the pack when I already have most titles.",Merchandise/Products,Single Titles vs Bundles
Neutral,"It would also be wonderful if there were more books available with a Christian theme, especially at Christmas and Easter.",Merchandise/Products,Product Inventory
Neutral,"It's frustrating to not be able to get the next book in a series. For example, the Wings of Fire. My daughter read the first one to see if she liked it but we don't want the set because we already have the first one. We just want the second book, but will have to get it somewhere else.  Thanks",Merchandise/Products,Single Titles vs Bundles
Very Satisfied,"I appreciate the opportunity to offer my students a variety of books to purchase.  I would like to see ""small group"" sets of books for my new grade level to purchase.",Merchandise/Products,Products Offered
Neutral,I would prefer more individual books instead of a pack of several.,Merchandise/Products,Single Titles vs Bundles
Neutral,I wanted to see more books beyond my child's grade.  The options were confusing to figure out and looked like that same books over and over again.,Merchandise/Products,Products Offered
Satisfied,Wondered what to do about out of stock orders. ,Merchandise/Products,Product Inventory
Satisfied,"The book that I wanted to order is out of stock.  No details as to when it will be back in stock.  Usually, companies would send you information when the item is back in stock.  Disappointed.",Merchandise/Products,Product Inventory
Neutral,"Overall, the inventory sometimes feels limited on this site.",Merchandise/Products,Products Offered
Very Satisfied,would like to see individual book options if they are also in a pack: otherwise we end up with duplicates. thanks!,Merchandise/Products,Single Titles vs Bundles
Satisfied,I would love to see Reading Group Book sets for lower GRL levels A-D.,Merchandise/Products,Products Offered
Very Satisfied,I couldn't complete my order because one of the student order was out of stock and I had to contact the parent to see if they wanted to change their order or get reimbursed.,Merchandise/Products,Product Inventory
Neutral,"Just hard to find something that I think she will enjoy, thats at her level. Shes 8 and a good reader but many books seem to young for her (picture books) and she doesn't enjoy graphic novels. I only want  to buy books that will get reread,  ",Merchandise/Products,Products Offered
Satisfied,When selecting  books it would be nice to see the covers and authors.,Merchandise/Products,Product Info/Description
Very Satisfied,For holidays I like to purchase my students a book such as Spookley the Square Pumpkin or Twas the Night Before Christmas.  The last few years many of these popular books are only offered in book bundles instead of individually.  Could you please also offer books individually so that we may purchase these classics for our entire class.,Merchandise/Products,Single Titles vs Bundles
Satisfied,A book that my child wanted was out of stock,Merchandise/Products,Product Inventory
Neutral,the suggestions of books are very small,Merchandise/Products,Products Offered
Satisfied,"I'm always checking back on the site for new reading packs in our spanish classrooms.  We need more ""ready to read"" books for grades TK-3rd.",Merchandise/Products,Products Offered
Neutral," One of the items he ordered is apparently out of stock.  Instead of a backorder sheet of stickers, it won't even let me place that order.  ",Merchandise/Products,Product Inventory
Neutral,selection are pretty sparse,Merchandise/Products,Products Offered
Disappointed,You were out of stock on over $80 worth of books towards my order. ,Merchandise/Products,Product Inventory
Disappointed,"I have been a member of scholastic for over 30 years. The quality of reading of your product has gone down, in my opinion. There are not enough classic stories, too many graphic novels, and silly stories (Dog man, etc..) and these kind of books do not make my students smarter readers. I know these are the type of books that sell, but , in my opinion, they lower Scholastic's standards.",Merchandise/Products,Products Offered
Satisfied,"We really wanted to purchase individual titles of the Owl Diaries, but they were not available.",Merchandise/Products,Single Titles vs Bundles
Neutral,What my child wanted was out of stock,Merchandise/Products,Product Inventory
Satisfied,Not enough non-fiction or STEM related books selections,Merchandise/Products,Products Offered
Satisfied,I wish that scholastic carried,Merchandise/Products,Products Offered
Neutral,I couldn't find some books my daughter wanted.,Merchandise/Products,Product Inventory
Satisfied,Would like to order individual books from the black is beautiful 5 pack,Merchandise/Products,Single Titles vs Bundles
Satisfied,I was interested in many of the book packs but already own 1 or 2 in most of them and wish the titles that you were interested in were available to purchase on their own.,Merchandise/Products,Single Titles vs Bundles
Disappointed,Get this woke crap off your site. The more woke stuff there is the less I buy. Shame.,Merchandise/Products,Products Offered
Very Satisfied,"Biggest challenge was figuring out which books were in a boxed series. I was shopping for the Magic Tree House series and needed a specific ""next"" box set. I couldn't easily distinguish which set was the correct one for me to select",Merchandise/Products,Product Info/Description
Neutral,"For books that are part of a series, I wish you would say which number it is. As an example, I know my son likes The Bad Guys, but I don't know which numbers you have for sale.",Merchandise/Products,Product Info/Description
Satisfied,Not all books are available that are available on the regular of scholastic,Merchandise/Products,Product Inventory
Very Disappointed, book clubs has a lot fewer options.  ended up buying at amazon.,Merchandise/Products,Products Offered
