OverallRating,Comment,FeedbackCategory,Subcategory
Satisfied,"trying to figure out how many bonus points I have  *thank you for all the great prices, bonuses, shipping :)",,
Satisfied,When selecting free books it would be nice to see the covers and authors.,,
Satisfied,Where do I mail my payment,,
Satisfied,will be processing order on Sunday waiting for a few more parents to order,,
Satisfied,Yesterday I submitted a student online order and mailed a student order and today I had another student online order. Since my orders were submitted on different days I was not able to receive any bonus points or rewards. Is there any way to get those credits?,,
Very Disappointed,Hard to follow….almost made me quit the purchase…also should have option to purchase as a guest and give paypal option,,
Very Disappointed,I am frankly disgusted by Scholastic's false promises of free books for teachers.  I am far to busy to waste my time on nonsense.  I will inform my classroom parents that Scholastic has repeatedly failed to uphold its promises to reward teachers with free books for student purchase therefore I will no longer distribute monthly book order forms.  They can go to retail book shops in the future.,,
Very Disappointed,"I am ordering $30 worth of books, the coupon ""READS"" still shows in the banner and I can not apply y free book.",,
Very Disappointed,I couldnt use the READS coupon code.,,
Very Disappointed,I have just placed my last order with your company.  You failed to honor your advertised rewards for teachers when students place orders.  I'm done with your company.  My time is too valuable to do your advertising for free.  No more!  Do not send me any more flyers.  I am done!,,
Very Disappointed,"I ran out of during this visit to the website, but I will be placing my order shortly. :)",,
Very Disappointed,I s till do not know how to submit an order with money brought to me by a student that is in cash - I have to pay out of pocket up front for this?,,
Very Disappointed,"If you are going to advertise a promotion like READS, you should take it down if it's no longer available, which is the message that appears in my cart when I am ordering well over the required amount.   You're being very misleading in your advertising.   But for supporting our teacher through the promotion you are giving to teachers whose parents place orders before September 30th, this experience makes me not want to shop from Scholastic again.",,
Very Disappointed,"Options to pay previous account balances online, not via telephone for ALL. Offer National Geographic novels in higher levels.",,
Very Disappointed,signing up i did not get points or neither did the person who shared. Also the sign up was really buggy.,,
Very Disappointed,Stop sending me emails and stop producing sooooo many flyers that I simply recycle. Stop!!!!!,,
Very Disappointed,"The code says expired. I did what the person in chat said to do and it still doesn't work. I don't think I will be ordering, at least online, again any time soon",,
Very Disappointed,"The flyer from the teacher, does NOT match on-line.",,
Very Disappointed,This was such a terrible experience.  What books come in the five book bonus pack? How do you pay for the dollar books?  How does the teacher  purchase books for the classroom from the flyer?  What are thee bonus points for? If I send you the paper order how do I know who gets what? Come on scholastic- make it stress free for the teacher too!,,
Very Satisfied,A parent wrote a check to Scholastic while the rest of the parents sent cash.  I paid for everything on my debit card.  This means I need to contact the parent who wrote a check to you and ask them to rewrite it.,,
Very Satisfied,Adding to wish lists so that when I can get class codes (teachers haven't been updated for this year).,,
Very Satisfied,"Biggest challenge was figuring out which books were in a boxed series. I was shopping for the Magic Tree House series and needed a specific ""next"" box set. I couldn't easily distinguish which set was the correct one for me to select. The numbers were not listed in the title of the product.",,
Very Satisfied,"Christon was very helpful. I didn't get to tell them because  I clicked something and the chat disappeared from screen, though  I heard a couple extra messages.",,
Very Satisfied,Codes did not match my pamphlet,,
Very Satisfied,Excellent!  Much easier to use than the old format of the site.,,
Very Satisfied,"hi just got the flyers i requested but I guess I didn't ask for the Lucky flyers or any that would be good for second graders.    In the future could you please send me any flyers See Saw, Lucky, you can be a reader, that  second graders would order from...  Thanks   Sarah Cox  2nd grade teacher  Holland Hall School  5666 E. 81   Tulsa, Ok 74137",,
Very Satisfied,I am not sure that I fixed my problem.  I have not been receiving flyers this year.  I tried to update my class info again in hopes they will start coming!,,
Very Satisfied,I couldn't find teacher's name. I will wait to get her class code to submit my order as I noted that purchases help teachers get free books for the classrooms. Thanks,,
Very Satisfied,"I couldnt pay with my international card, or my international paypal",,
Very Satisfied,I didn’t get the promo code to work,,
Very Satisfied,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",,
Very Satisfied,I don't like the online necessity of paying sales tax on book purchases.,,
Very Satisfied,I entered the code for a free book but it didn't take anything off of the amount of my order.,,
Very Satisfied,I have changed grade levels. I want to continue to improve literacy with my ELL and regular education students.,,
Very Satisfied,"I haven't tried to get those catalogues yet, so I'm not sure if I'll be successful.",,
Very Satisfied,I look forward to coming back as a classroom teacher. :),,
Very Satisfied,I love scholastic book club. It has been a slow start after the pandemic but I am hoping this year will blossom with readers!    I loved your videos they were so helpful in doing the things I needed to get done!,,
Very Satisfied,I placed an order for my class yesterday 9/16/2022 by phone. I did not have any online orders. However a student placed an on line order this morning so I placed this order today. It was very easy to place this on line order.,,
Very Satisfied,I see there is now a minimum $25 in order to receive the free shipping. There are times I have had only a couple parents order and my total amount is under this. I as a teacher would NOT want to incur the $6.50 S&H fee.,,
Very Satisfied,I want to get back to Scholastic Book Clubs to help my students build their reading skills. I look forward to recving  the order forms.,,
Very Satisfied,I was just adding a student order today and doing a little classroom shopping.,,
Very Satisfied,"I was very happy to have immediate help from ""Ronda"" on the live chat. She was able to find the information I needed in a timely manner and was quite courteous.    I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I have the tendency to think I've done something, but in fact just thought about doing it and I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily, everything else ran smoothly.",,
Very Satisfied,"I went in today to modify my profile for my new school & role. I wish there was a way that I could indicate that I am not a classroom teacher, I am a support specialist. I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",,
Very Satisfied,I will be submitting an order next week. I had a parent ask for me to hold off until the weekend.,,
Very Satisfied,I will most likely submit an order this month. The only reason I didn't do it today is because I am waiting for my class due date before I submit.,,
Very Satisfied,I will place my personal order when students have placed their orders.,,
Very Satisfied,I'm just pre shopping of our next book order for Christmas gift ideas.,,
Very Satisfied,Just checking on student orders submitted online.  I will submit them on Friday.,,
Very Satisfied,Just checking up on my class order which is due later this week.,,
Very Satisfied,"Just wondering if parents could be prompted to select a free book when their order is over $25.  I have a family that earned a free book, but didn't make a selection.  It would be nice if they could be prompted for these rewards just like teacher's have on their checkout page.",,
Very Satisfied,Looking forward to ordering book for this school year.,,
Very Satisfied,Love scholastic!! Kids need to hold books.,,
Very Satisfied,Much easier to use this year.,,
Very Satisfied,"My customer # has changed, and the number of spaces for my customer # is different than what is on the envelope.",,
Very Satisfied,My customer number is not the same number I've used for the last 35 years??????,,
Very Satisfied,N/A,,
Very Satisfied,Na,,
Very Satisfied,not complete with my order. Did find letters for parents. Love them,,
Very Satisfied,Opened site and prepared for my children to choose their options. Very likely to come back. I remember being SO excited for Book Fairs and Book Clubs as a kid in school. It was definitely a highlight of elementary and even middle school!,,
Very Satisfied,Ordered 2 Lego Ninjago Activity book.  Mrs Gugg9sbergm sent only one home.  Sending note to teacher tomorrow.  Thanks,,
Very Satisfied,Prices are too high. Not willing to pay $6-8 for a paperback book.,,
Very Satisfied,Really appreciate the service you offer children.,,
Very Satisfied,Shipping is wonderful this new school year in the Fall.  Seems like the bugs are worked out.,,
Very Satisfied,So easy that I didn't even need to watch the tutorial. Thank you!,,
Very Satisfied,The READS coupon didn’t work :(,,
Very Satisfied,This site seems to work very well. I DO wish that when I chose my free $5.00 book that I would have been given the option to choose the book OR make an additional donation to the donation area. Spread even more of the love!,,
Very Satisfied,This visit to the site was to get a game plan for which books I will be purchasing within a day or so...I just didn't purchase any at this moment.,,
Very Satisfied,Trying to make a payment,,
Very Satisfied,Was trying to find the $1 books to give out as gifts for my students and my daughter's class.,,
Very Satisfied,Wish there was a way to edit a letter to attach to the student flyers.      Such as fonts and size.  I can't figure that out.,,
Very Satisfied,Would not let me enter free book selection on a $176.00 order.,,
